File Name: 0:\GARMIN\EVNTLOGS/0000001D.TXT


>>>>> EVL_CURR_LOGS <<<<<

verNum:     8/13/2014 (00)
ownerID:    00000002
OwnerName:  HWM
status:     01
pri_thresh:  4
archived:   00
max_arch:   00
num_recs:   80
rec_size:   40
next_evnt:  4F
timeDay:    2018/ 2/ 9 18:35:12 
cycle_cnt:  7

1E: D3 10 00 00 322:29:34.932 HWM main (Loc:2018/ 2/ 4  9:49:20 ) (UTC:2018/ 2/ 4  8:49:20 ) D:1
1F: D3 10 00 00 322:31:54.608 HWM main (Loc:2018/ 2/ 4  9:51:39 ) (UTC:2018/ 2/ 4  8:51:39 ) D:1
20: D3 10 00 00 322:32:41.199 HWM main (Loc:2018/ 2/ 4  9:52:26 ) (UTC:2018/ 2/ 4  8:52:26 ) D:1
21: D3 10 00 00 322:33:23.548 HWM main (Loc:2018/ 2/ 4  9:53:08 ) (UTC:2018/ 2/ 4  8:53:08 ) D:1
22: D3 10 00 00 322:34:35.009 HWM main (Loc:2018/ 2/ 4  9:54:20 ) (UTC:2018/ 2/ 4  8:54:20 ) D:1
23: D3 10 00 00 322:35:49.096 HWM main (Loc:2018/ 2/ 4  9:55:34 ) (UTC:2018/ 2/ 4  8:55:34 ) D:1
24: D3 10 00 00 322:42:53.028 HWM main (Loc:2018/ 2/ 4 10:02:38 ) (UTC:2018/ 2/ 4  9:02:38 ) D:1
25: D3 10 00 00 322:53:06.505 HWM main (Loc:2018/ 2/ 4 10:12:51 ) (UTC:2018/ 2/ 4  9:12:51 ) D:1
26: D3 10 00 00 322:53:41.886 HWM main (Loc:2018/ 2/ 4 10:13:27 ) (UTC:2018/ 2/ 4  9:13:27 ) D:1
27: D3 10 00 00 322:55:23.193 HWM main (Loc:2018/ 2/ 4 10:15:08 ) (UTC:2018/ 2/ 4  9:15:08 ) D:1
28: D3 10 00 00 322:58:01.557 HWM main (Loc:2018/ 2/ 4 10:17:46 ) (UTC:2018/ 2/ 4  9:17:46 ) D:1
29: D3 10 00 00 322:59:21.703 HWM main (Loc:2018/ 2/ 4 10:19:06 ) (UTC:2018/ 2/ 4  9:19:06 ) D:1
2A: D3 10 00 00 323:16:01.888 HWM main (Loc:2018/ 2/ 4 10:35:47 ) (UTC:2018/ 2/ 4  9:35:47 ) D:1
2B: D3 10 00 00 323:27:08.411 HWM main (Loc:2018/ 2/ 4 10:46:53 ) (UTC:2018/ 2/ 4  9:46:53 ) D:1
2C: D3 10 00 00 323:30:18.655 HWM main (Loc:2018/ 2/ 4 10:50:03 ) (UTC:2018/ 2/ 4  9:50:03 ) D:1
2D: D3 10 00 00 323:30:32.386 HWM main (Loc:2018/ 2/ 4 10:50:17 ) (UTC:2018/ 2/ 4  9:50:17 ) D:1
2E: D3 10 00 00 323:43:11.824 HWM main (Loc:2018/ 2/ 4 11:02:57 ) (UTC:2018/ 2/ 4 10:02:57 ) D:1
2F: D3 10 00 00 323:50:42.117 HWM main (Loc:2018/ 2/ 4 11:10:27 ) (UTC:2018/ 2/ 4 10:10:27 ) D:1
30: D3 10 00 00 323:51:23.459 HWM main (Loc:2018/ 2/ 4 11:11:08 ) (UTC:2018/ 2/ 4 10:11:08 ) D:1
31: D3 10 00 00 323:51:59.841 HWM main (Loc:2018/ 2/ 4 11:11:45 ) (UTC:2018/ 2/ 4 10:11:45 ) D:1
32: D3 10 00 00 323:52:12.928 HWM main (Loc:2018/ 2/ 4 11:11:58 ) (UTC:2018/ 2/ 4 10:11:58 ) D:1
33: D3 10 00 00 323:56:50.581 HWM main (Loc:2018/ 2/ 4 11:16:35 ) (UTC:2018/ 2/ 4 10:16:35 ) D:1
34: D3 10 00 00 324:00:50.385 HWM main (Loc:2018/ 2/ 4 11:20:35 ) (UTC:2018/ 2/ 4 10:20:35 ) D:1
35: D3 10 00 00 324:02:12.506 HWM main (Loc:2018/ 2/ 4 11:21:57 ) (UTC:2018/ 2/ 4 10:21:57 ) D:1
36: D3 10 00 00 324:03:39.769 HWM main (Loc:2018/ 2/ 4 11:23:24 ) (UTC:2018/ 2/ 4 10:23:24 ) D:1
37: D3 10 00 00 325:42:05.511 HWM main (Loc:2018/ 2/ 4 13:01:50 ) (UTC:2018/ 2/ 4 12:01:50 ) D:1
38: D3 10 00 00 333:20:11.414 HWM main (Loc:2018/ 2/ 4 20:39:56 ) (UTC:2018/ 2/ 4 19:39:56 ) D:1
39: D3 10 00 00 333:22:45.294 HWM main (Loc:2018/ 2/ 4 20:42:30 ) (UTC:2018/ 2/ 4 19:42:30 ) D:1
3A: D3 10 00 00 347:13:59.885 HWM main (Loc:2018/ 2/ 5 10:33:45 ) (UTC:2018/ 2/ 5  9:33:45 ) D:1
3B: D3 10 00 00 348:51:28.753 HWM main (Loc:2018/ 2/ 5 12:11:13 ) (UTC:2018/ 2/ 5 11:11:13 ) D:1
3C: D3 10 00 00 349:42:44.663 HWM main (Loc:2018/ 2/ 5 13:02:29 ) (UTC:2018/ 2/ 5 12:02:29 ) D:1
3D: D3 10 00 00 350:06:11.983 HWM main (Loc:2018/ 2/ 5 13:25:57 ) (UTC:2018/ 2/ 5 12:25:57 ) D:1
3E: D3 10 00 00 350:24:39.534 HWM main (Loc:2018/ 2/ 5 13:44:24 ) (UTC:2018/ 2/ 5 12:44:24 ) D:1
3F: D3 10 00 00 351:11:15.253 HWM main (Loc:2018/ 2/ 5 14:31:00 ) (UTC:2018/ 2/ 5 13:31:00 ) D:1
40: D3 10 00 00 352:20:22.532 HWM main (Loc:2018/ 2/ 5 15:40:07 ) (UTC:2018/ 2/ 5 14:40:07 ) D:1
41: D3 10 00 00 354:10:33.408 HWM main (Loc:2018/ 2/ 5 17:30:18 ) (UTC:2018/ 2/ 5 16:30:18 ) D:1
42: D3 10 00 00 354:12:48.993 HWM main (Loc:2018/ 2/ 5 17:32:34 ) (UTC:2018/ 2/ 5 16:32:34 ) D:1
43: D3 10 00 00 354:13:02.332 HWM main (Loc:2018/ 2/ 5 17:32:47 ) (UTC:2018/ 2/ 5 16:32:47 ) D:1
44: D3 10 00 00 359:42:30.739 HWM main (Loc:2018/ 2/ 5 23:02:15 ) (UTC:2018/ 2/ 5 22:02:15 ) D:1
45: D3 10 00 00 367:50:32.374 HWM main (Loc:2018/ 2/ 6  7:10:17 ) (UTC:2018/ 2/ 6  6:10:17 ) D:1
46: D3 10 00 00 369:52:38.622 HWM main (Loc:2018/ 2/ 6  9:12:23 ) (UTC:2018/ 2/ 6  8:12:23 ) D:1
47: D3 10 00 00 370:09:07.065 HWM main (Loc:2018/ 2/ 6  9:28:52 ) (UTC:2018/ 2/ 6  8:28:52 ) D:1
48: D3 10 00 00 371:02:37.146 HWM main (Loc:2018/ 2/ 6 10:22:22 ) (UTC:2018/ 2/ 6  9:22:22 ) D:1
